college_url,nba_url,name,college_position,college,college_height,college_weight,Year,BAMScore,Year2,BAMScore2,college_G,college_GS,college_MP,college_FG,college_FGA,college_FG%,college_2P,college_2PA,college_2P%,college_3P,college_3PA,college_3P%,college_FT,college_FTA,college_FT%,college_ORB,college_DRB,college_TRB,college_AST,college_STL,college_BLK,college_TOV,college_PF,college_PTS,college_SOS,NBA_position,NBA_height,NBA_weight,NBA_G,NBA_GS,NBA_MP,NBA_FG,NBA_FGA,NBA_FG%,NBA_2P,NBA_2PA,NBA_2P%,NBA_3P,NBA_3PA,NBA_3P%,NBA_FT,NBA_FTA,NBA_FT%,NBA_ORB,NBA_DRB,NBA_TRB,NBA_AST,NBA_STL,NBA_BLK,NBA_TOV,NBA_PF,NBA_PTS
https://www.sports-reference.com/cbb/players/michael-gbinije-1.html,https://www.basketball-reference.com/players/g/gbinimi01.html,Michael Gbinije,Forward,Duke and Syracuse,6-7,200,2016,2185,,,120,61,25.5,3.4,7.5,0.454,2.1,4.1,0.511,1.3,3.4,0.387,1.7,2.6,0.639,0.8,2.3,3.1,2.6,1.3,0.3,1.6,2.1,9.8,8.27,Shooting Guard,6-7,200,9,0,3.6,0.1,1.1,0.1,0.1,0.7,0.167,0,0.4,0,0.2,0.2,1,0.2,0.1,0.3,0.2,0,0,0,0.2,0.4
https://www.sports-reference.com/cbb/players/justin-patton-1.html,https://www.basketball-reference.com/players/p/pattoju01.html,Justin Patton,Center,Creighton,6-11,215,2017,1944,,,35,34,25.3,5.7,8.5,0.676,5.5,8,0.683,0.2,0.4,0.533,1.3,2.5,0.517,1.7,4.5,6.2,1.2,0.9,1.4,1.7,2.7,12.9,8.95,Center,6-11,241,9,0,5.4,0.8,2.1,0.368,0.7,1.4,0.462,0.1,0.7,0.167,0.1,0.2,0.5,0.3,0.9,1.2,0.6,0.3,0,0.2,1.1,1.8
https://www.sports-reference.com/cbb/players/drew-gordon-1.html,https://www.basketball-reference.com/players/g/gordodr01.html,Drew Gordon,Forward,UCLA and New Mexico,6-9,245,2012,2093,,,101,59,23,4,7.4,0.541,4,7.4,0.541,0,0,,1.9,2.7,0.69,2.6,5.5,8,0.7,0.7,1,1.7,2.4,10,5.82,Power Forward,6-9,245,9,0,7.9,0.9,2.1,0.421,0.9,1.8,0.5,0,0.3,0,0.1,0.2,0.5,0.8,1.2,2,0.2,0.1,0,0.9,0.8,1.9
https://www.sports-reference.com/cbb/players/nigel-hayes-1.html,https://www.basketball-reference.com/players/h/hayesni01.html,Nigel Hayes,Forward,Wisconsin,6-8,235,2016,2016,2017,2077,150,112,29.6,4,9.1,0.446,3.4,7,0.478,0.7,2,,3.6,5.5,0.666,1.8,3.5,5.3,2.1,0.9,0.4,1.6,2.1,12.4,9.82,Small Forward,6-8,254,9,0,13.6,1.2,3.7,0.333,0.8,1.9,0.412,0.4,1.8,0.25,0.1,0.3,0.333,0.4,2,2.4,0.7,0.2,0.3,0.2,0.9,3
https://www.sports-reference.com/cbb/players/scott-machado-1.html,https://www.basketball-reference.com/players/m/machasc01.html,Scott Machado,Guard,Iona,6-1,180,2012,2075,,,132,125,31.4,4,9.3,0.429,3.1,6.6,0.466,0.9,2.7,0.342,3.3,4.4,0.74,0.8,3.1,3.9,6.7,1.4,0.1,3.3,2.4,12.2,-2.07,Point Guard,6-1,205,10,0,4,0.7,1.2,0.583,0.6,1,0.6,0.1,0.2,0.5,0.3,0.3,1,0,0.1,0.1,0.9,0.3,0,0.8,0.2,1.8
https://www.sports-reference.com/cbb/players/travis-leslie-1.html,https://www.basketball-reference.com/players/l/leslitr01.html,Travis Leslie,Guard,Georgia,6-4,205,2011,2241,,,90,68,26.1,4.6,9.6,0.482,4.4,9,0.492,0.2,0.6,0.333,2.7,3.7,0.743,2.7,3.4,6.1,2.1,1.1,0.7,2,1.8,12.2,6.56,Shooting Guard,6-4,205,10,0,4.5,0.5,1.4,0.357,0.5,1.4,0.357,0,0,,0.4,0.9,0.444,0.6,0.3,0.9,0.5,0.2,0.2,0.2,0.4,1.4
https://www.sports-reference.com/cbb/players/nigel-williams-goss-1.html,https://www.basketball-reference.com/players/w/willini01.html,Nigel Williams-Goss,Guard,Washington and Gonzaga,6-3,185,2017,2177,,,100,100,34.2,5.7,12.4,0.464,4.8,9.4,0.506,1,2.9,0.331,2.9,3.6,0.806,0.7,4.4,5.1,5,1.3,0.1,2.6,1.9,15.4,5.14,Point Guard,6-2,190,10,0,5,0.5,1.6,0.313,0.3,0.9,0.333,0.2,0.7,0.286,0.2,0.2,1,0.2,0.4,0.6,0.6,0.3,0.1,0.3,0.6,1.4
https://www.sports-reference.com/cbb/players/kevin-hervey-1.html,https://www.basketball-reference.com/players/h/herveke01.html,Kevin Hervey,Forward,Texas-Arlington,6-7,210,2018,2064,,,115,84,27.7,5.5,12.5,0.44,3.7,7,0.53,1.8,5.5,0.324,2.8,3.6,0.768,1.9,6.1,8,1.9,1,0.5,2.1,1.9,15.5,-2.12,Power Forward,6-9,230,10,0,5.2,0.7,2.7,0.259,0.4,0.7,0.571,0.3,2,0.15,0,0,,0.1,1.1,1.2,0.5,0.1,0.1,0,0.4,1.7
https://www.sports-reference.com/cbb/players/kris-joseph-1.html,https://www.basketball-reference.com/players/j/josepkr01.html,Kris Joseph,Forward,Syracuse,6-7,210,2012,2134,,,140,77,26.6,3.5,7.8,0.449,2.7,5.4,0.501,0.8,2.4,0.331,2.7,3.9,0.702,1.3,3.2,4.5,1.5,1.3,0.5,1.6,1.6,10.5,8.37,Small Forward,6-7,210,10,0,5.4,0.2,1.4,0.143,0.2,1.1,0.182,0,0.3,0,0.5,0.8,0.625,0.1,0.6,0.7,0.1,0.3,0,0.2,0.3,0.9
https://www.sports-reference.com/cbb/players/rawle-alkins-1.html,https://www.basketball-reference.com/players/a/alkinra01.html,Rawle Alkins,Guard,Arizona,6-5,220,2017,2108,2018,2182,60,57,29.3,4,9,0.45,2.8,5.5,0.505,1.3,3.5,0.365,2.4,3.3,0.729,1.7,3.2,4.9,2.2,1,0.6,2.1,2.2,11.8,7.24,Shooting Guard,6-5,225,10,1,12,1.3,3.9,0.333,1,2.7,0.37,0.3,1.2,0.25,0.8,1.2,0.667,1.1,1.5,2.6,1.3,0.1,0,0.8,0.7,3.7
