url,name,position,college,height,weight,Year,BAMScore,Year2,BAMScore2
https://www.sports-reference.com/cbb/players/brandon-mccoy-1.html,Brandon McCoy,Forward,UNLV,7-1,250lb,2018,2029,,
https://www.sports-reference.com/cbb/players/charles-garcia-1.html,Charles Garcia,Forward,Seattle,6-10,220lb,2010,2029,,
https://www.sports-reference.com/cbb/players/sagaba-konate-1.html,Sagaba Konate,Forward,West Virginia,6-8,250lb,2018,2030,,
https://www.sports-reference.com/cbb/players/isaiah-hicks-1.html,Isaiah Hicks,Forward,UNC,6-8,230lb,2017,2031,,
https://www.sports-reference.com/cbb/players/kyle-singler-1.html,Kyle Singler,Forward,Duke,6-8,230lb,2011,2031,,
https://www.sports-reference.com/cbb/players/lamar-patterson-1.html,Lamar Patterson,Guard,Pitt,6-5,225lb,2014,2033,,
https://www.sports-reference.com/cbb/players/gani-lawal-1.html,Gani Lawal,Forward,Georgia Tech,6-9,234lb,2010,2034,,
https://www.sports-reference.com/cbb/players/mikhail-torrance-1.html,Mikhail Torrance,Guard,Alabama,6-5,210lb,2010,2034,,
https://www.sports-reference.com/cbb/players/raymond-spalding-1.html,Raymond Spalding,Forward,Louisville,6-10,210lb,2018,2035,,
https://www.sports-reference.com/cbb/players/sherron-collins-1.html,Sherron Collins,Guard,Kansas,5-11,205lb,2010,2035,,
https://www.sports-reference.com/cbb/players/isaiah-whitehead-1.html,Isaiah Whitehead,Guard,Seton Hall,6-4,210lb,2016,2036,,
https://www.sports-reference.com/cbb/players/brandon-davies-1.html,Brandon Davies,Forward,BYU,6-9,235lb,2013,2038,,
https://www.sports-reference.com/cbb/players/kenneth-faried-1.html,Kenneth Faried,Forward,Morehead State,6-8,228lb,2011,2039,,
https://www.sports-reference.com/cbb/players/festus-ezeli-1.html,Festus Ezeli,Center,Vanderbilt,6-11,255lb,2012,2040,,
https://www.sports-reference.com/cbb/players/mike-scott-4.html,Mike Scott,Forward,Virginia,6-8,237lb,2012,2042,,
https://www.sports-reference.com/cbb/players/hollis-thompson-1.html,Hollis Thompson,Forward,Georgetown,6-8,212lb,2012,2045,,
https://www.sports-reference.com/cbb/players/rashad-vaughn-1.html,Rashad Vaughn,Guard,UNLV,6-6,210lb,2015,2045,,
https://www.sports-reference.com/cbb/players/sam-young-1.html,Sam Young,Forward,Pitt,6-6,220lb,2009,2045,,
https://www.sports-reference.com/cbb/players/sindarius-thornwell-1.html,Sindarius Thornwell,Guard,South Carolina,6-5,215lb,2017,2047,,
https://www.sports-reference.com/cbb/players/steven-adams-1.html,Steven Adams,Center,Pitt,7-0,250lb,2013,2047,,
https://www.sports-reference.com/cbb/players/deandre-daniels-1.html,DeAndre Daniels,Forward,UConn,6-9,195lb,2014,2048,,
https://www.sports-reference.com/cbb/players/johnny-obryant-1.html,Johnny O'Bryant,Forward,LSU,6-9,256lb,2014,2048,,
https://www.sports-reference.com/cbb/players/will-clyburn-1.html,Will Clyburn,Guard,Utah and Iowa State,6-7,210lb,2013,2049,,
https://www.sports-reference.com/cbb/players/pj-washington-1.html,PJ Washington,Forward,Kentucky,6-8,228lb,2018,2050,,
https://www.sports-reference.com/cbb/players/jordan-bachynski-1.html,Jordan Bachynski,Center,Arizona State,7-2,248lb,2014,2052,,
https://www.sports-reference.com/cbb/players/jackie-carmichael-1.html,Jackie Carmichael,Forward,Illinois State,6-9,240lb,2013,2053,,
https://www.sports-reference.com/cbb/players/aaron-harrison-1.html,Aaron Harrison,Guard,Kentucky,6-6,212lb,2015,2055,,
https://www.sports-reference.com/cbb/players/brandon-ashley-1.html,Brandon Ashley,Forward,Arizona,6-8,230lb,2015,2055,,
https://www.sports-reference.com/cbb/players/kyle-oquinn-1.html,Kyle O'Quinn,Center,Norfolk State,6-10,240lb,2012,2055,,
https://www.sports-reference.com/cbb/players/peter-jok-1.html,Peter Jok,Guard,Iowa,6-6,200lb,2017,2057,,
https://www.sports-reference.com/cbb/players/thomas-bryant-1.html,Thomas Bryant,Center,Indiana,6-10,245lb,2017,2057,,
https://www.sports-reference.com/cbb/players/cameron-oliver-1.html,Cameron Oliver,Forward,Nevada,6-8,225lb,2017,2058,,
https://www.sports-reference.com/cbb/players/chimezie-metu-1.html,Chimezie Metu,Forward,USC,6-11,215lb,2018,2058,,
https://www.sports-reference.com/cbb/players/jonathan-holmes-2.html,Jonathan Holmes,Forward,Texas,6-8,240lb,2015,2058,,
https://www.sports-reference.com/cbb/players/jaylen-barford-1.html,Jaylen Barford,Guard,Arkansas,6-3,202lb,2018,2059,,
https://www.sports-reference.com/cbb/players/kawhi-leonard-1.html,Kawhi Leonard,Forward,San Diego State,6-7,225lb,2011,2060,,
https://www.sports-reference.com/cbb/players/treveon-graham-1.html,Treveon Graham,Guard,VCU,6-6,220lb,2015,2061,,
https://www.sports-reference.com/cbb/players/marcus-lee-2.html,Marcus Lee,Forward,Kentucky and California,6-9,220lb,2016,2062,,
https://www.sports-reference.com/cbb/players/dwayne-bacon-1.html,Dwayne Bacon,Guard,Florida State,6-7,210lb,2017,2063,,
https://www.sports-reference.com/cbb/players/lacedarius-dunn-1.html,LaceDarius Dunn,Guard,Baylor,6-4,205lb,2011,2063,,
https://www.sports-reference.com/cbb/players/andrew-jones-3.html,Andrew Jones,Guard,Texas,6-4,185lb,2017,2064,,
https://www.sports-reference.com/cbb/players/jarvis-varnado-1.html,Jarvis Varnado,Forward,Mississippi State,6-9,230lb,2010,2064,,
https://www.sports-reference.com/cbb/players/justin-jackson-5.html,Justin Jackson,Forward,Maryland,6-7,225lb,2017,2064,,
https://www.sports-reference.com/cbb/players/kevin-hervey-1.html,Kevin Hervey,Forward,Texas-Arlington,6-7,210lb,2018,2064,,
https://www.sports-reference.com/cbb/players/craig-brackins-1.html,Craig Brackins,Forward,Iowa State,6-10,230lb,2010,2065,,
https://www.sports-reference.com/cbb/players/justin-harper-1.html,Justin Harper,Forward,Richmond,6-10,225lb,2011,2065,,
https://www.sports-reference.com/cbb/players/xavier-thames-1.html,Xavier Thames,Guard,Washington State and San Diego State,6-3,195lb,2014,2065,,
https://www.sports-reference.com/cbb/players/chandler-parsons-1.html,Chandler Parsons,Forward,Florida,6-9,215lb,2011,2066,,
https://www.sports-reference.com/cbb/players/sylven-landesberg-1.html,Sylven Landesberg,Guard,Virginia,6-6,207lb,2010,2066,,
https://www.sports-reference.com/cbb/players/josh-heytvelt-1.html,Josh Heytvelt,Forward,Gonzaga,6-11,260lb,2009,2068,,
https://www.sports-reference.com/cbb/players/rick-jackson-1.html,Rick Jackson,Forward,Syracuse,6-9,240lb,2011,2068,,
https://www.sports-reference.com/cbb/players/eric-mika-2.html,Eric Mika,Forward,BYU,6-10,230lb,2017,2069,,
https://www.sports-reference.com/cbb/players/lance-stephenson-1.html,Lance Stephenson,Forward,Cincinnati,6-5,210lb,2010,2069,,
https://www.sports-reference.com/cbb/players/jeff-adrien-1.html,Jeff Adrien,Forward,UConn,6-7,243lb,2009,2070,,
https://www.sports-reference.com/cbb/players/tyus-jones-1.html,Tyus Jones,Guard,Duke,6-1,190lb,2015,2070,,
https://www.sports-reference.com/cbb/players/jordan-hill-1.html,Jordan Hill,Forward,Arizona,6-10,235lb,2009,2071,,
https://www.sports-reference.com/cbb/players/davon-reed-1.html,Davon Reed,Guard,Miami (FL),6-6,208lb,2017,2073,,
https://www.sports-reference.com/cbb/players/jereme-richmond-1.html,Jereme Richmond,Forward,Illinois,6-7,205lb,2011,2073,,
https://www.sports-reference.com/cbb/players/terran-petteway-1.html,Terran Petteway,Guard,Texas Tech and Nebraska,6-6,209lb,2015,2073,,
https://www.sports-reference.com/cbb/players/tony-mitchell-4.html,Tony Mitchell,Forward,North Texas,6-8,235lb,2013,2073,,
https://www.sports-reference.com/cbb/players/william-buford-1.html,William Buford,Guard,Ohio State,6-6,220lb,2012,2073,,
https://www.sports-reference.com/cbb/players/demetri-mccamey-1.html,Demetri McCamey,Guard,Illinois,6-3,200lb,2011,2074,,
https://www.sports-reference.com/cbb/players/devon-hall-1.html,Devon Hall,Guard,Virginia,6-5,210lb,2018,2074,,
https://www.sports-reference.com/cbb/players/john-collins-1.html,John Collins,Forward,Wake Forest,6-10,218lb,2017,2075,,
https://www.sports-reference.com/cbb/players/mike-muscala-1.html,Mike Muscala,Forward,Bucknell,6-11,234lb,2013,2075,,
https://www.sports-reference.com/cbb/players/sam-dekker-1.html,Sam Dekker,Forward,Wisconsin,6-9,230lb,2015,2075,,
https://www.sports-reference.com/cbb/players/scott-machado-1.html,Scott Machado,Guard,Iona,6-1,180lb,2012,2075,,
https://www.sports-reference.com/cbb/players/tj-leaf-1.html,TJ Leaf,Forward,UCLA,6-10,225lb,2017,2075,,
https://www.sports-reference.com/cbb/players/michael-dunigan-1.html,Michael Dunigan,Center,Oregon,6-10,242lb,2011,2077,,
https://www.sports-reference.com/cbb/players/otto-porter-1.html,Otto Porter,Forward,Georgetown,6-8,205lb,2013,2077,,
https://www.sports-reference.com/cbb/players/deandre-liggins-1.html,DeAndre Liggins,Guard,Kentucky,6-6,210lb,2011,2079,,
